t,throttle,steering,x,y,v_x,v_y,U,V,roll,pitch,yaw,p,q,r
7.2,0.34145841002464294,-0.0484052337706089,11.584470748901367,1.7720613479614258,2.497424602508545,0.42918407917022705,2.5338535824158352,-0.030243047243917243,0.0253014896523257,0.010320416963383629,10.434897342915919,0.021099509671330452,-0.004979242105036974,-1.5764133930206299
7.300000000000001,0.34145841002464294,-0.05268162861466408,11.860023498535156,1.8180484771728516,2.5092990398406982,0.4186272621154785,2.5437644436327402,-0.03305920812067925,0.027320092894307823,0.009958415002289256,10.216031481647859,0.018897196277976036,-0.0052521852776408195,-2.3362650871276855
7.4,0.34145841002464294,-0.05682215094566345,12.080074310302734,1.853719711303711,2.518791675567627,0.40916571021080017,2.5515568564547526,-0.035856541938980746,0.028855318326688025,0.009801319539734886,10.031942908837358,0.02222256176173687,-0.005284576676785946,-2.418539524078369
7.5,0.34145841002464294,-0.060816120356321335,12.354961395263672,1.8968114852905273,2.5314440727233887,0.39666181802749634,2.562030251882277,-0.03937866995331624,0.031125888022237893,0.009780829878666183,9.786057062417202,0.021315835416316986,-0.0033687541726976633,-2.1785976886749268
7.6000000000000005,0.34145841002464294,-0.06465323269367218,12.632530212402344,1.9386444091796875,2.542125940322876,0.38334372639656067,2.570525098191543,-0.04192169602277729,0.03302708510205419,0.009364188613541987,9.509724762149979,0.017312413081526756,-0.004768399056047201,-2.783985137939453
7.7,0.34145841002464294,-0.06832360476255417,12.854133605957031,1.9708147048950195,2.5514450073242188,0.37189075350761414,2.5780223477609674,-0.044442461556178425,0.03442355236584366,0.009241244851025912,9.280480319877427,0.020593591034412384,-0.003959696274250746,-2.9253790378570557
7.800000000000001,0.34145841002464294,-0.07181774824857712,13.138519287109375,2.010369300842285,2.5605480670928955,0.3562262952327728,2.584772216107703,-0.04749913837223302,0.036425446915178544,0.008448943072021264,8.972994892607398,0.018123667687177658,-0.006429646629840136,-2.695272207260132
7.9,0.34145841002464294,-0.07512667030096054,13.41823959350586,2.0473594665527344,2.571643352508545,0.34061211347579956,2.593624111732174,-0.049800716755205976,0.0381002115811899,0.008435282598166186,8.644878561315839,0.015415831468999386,-0.0024844580329954624,-3.2674660682678223
8.0,0.34145841002464294,-0.07824182510375977,13.643001556396484,2.0756874084472656,2.5799636840820312,0.32725149393081665,2.600116105147882,-0.051984528589637535,0.039341605879451,0.008366980834049935,8.374360482817401,0.018053889274597168,-0.0055369664914906025,-3.4517719745635986
8.1,0.34145841002464294,-0.0811551883816719,13.924087524414062,2.109259605407715,2.5902953147888184,0.30988284945487976,2.6081907681525576,-0.05475504658888697,0.04112702370383479,0.008237207078305659,8.024663085576236,0.016516204923391342,-0.0021898795384913683,-3.050759792327881
8.200000000000001,0.34145841002464294,-0.08385923504829407,14.207672119140625,2.1410322189331055,2.5996007919311523,0.29207560420036316,2.61534517087236,-0.056586863958960676,0.04255041167353214,0.007936679994872993,7.650012803580218,0.013240695931017399,-0.005355011206120253,-3.7618327140808105
8.3,0.34145841002464294,-0.08634699881076813,14.433614730834961,2.164830207824707,2.60711669921875,0.27721449732780457,2.6211627135347215,-0.058407106153886834,0.04358925127059705,0.007820565727546061,7.345954962590154,0.014814442954957485,-0.005662804935127497,-3.726679563522339
8.4,0.34145841002464294,-0.08861205726861954,14.724918365478516,2.1934518814086914,2.6140856742858887,0.2574830949306488,2.62603819498408,-0.06053804726393475,0.04494819477700762,0.006980452727680953,6.9459989735805205,0.012582458555698395,-0.008784680627286434,-3.5543460845947266
8.5,0.34145841002464294,-0.0906485766172409,14.952856063842773,2.214226722717285,2.621342658996582,0.24171233177185059,2.6317289640602928,-0.06216789309599863,0.045875201415386785,0.00696679314620473,6.62152471726511,0.014196564443409443,-0.0006397250690497458,-3.499518632888794
8.6,0.34145841002464294,-0.0924513041973114,15.238912582397461,2.238213539123535,2.6298887729644775,0.2217555046081543,2.6384563862221464,-0.06354809196344169,0.0470947525195155,0.006973623472839486,6.199571063378933,0.010366672649979591,-0.0036100682336837053,-4.018223762512207
8.700000000000001,0.34145841002464294,-0.09401557594537735,15.527061462402344,2.2600889205932617,2.6375741958618164,0.20124779641628265,2.644436832918208,-0.06520851895291854,0.0480238870333565,0.006789207265725589,5.775789418153681,0.009235778823494911,-0.002830338664352894,-3.7523012161254883
8.8,0.34145841002464294,-0.09533737599849701,15.75741195678711,2.2758941650390625,2.6436305046081543,0.18460063636302948,2.649238397461324,-0.06629896874730673,0.048623038902486565,0.006673094114275088,5.427958111627665,0.009663458913564682,-0.0028890878893435,-3.770383358001709
